ORF_ID	Best_Hit_ARO	ARO	Model_type	Drug Class	Resistance Mechanism	AMR Gene Family
allSample_unmapped_3238368_1	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3291665_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_3312752_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3313580_1	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3321626_20	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_3434754_7	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_3872224_1	Acinetobacter baumannii AbaQ	3004574	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_3887461_4	APH(2'')-If	3004191	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
allSample_unmapped_4744368_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_3958771_6	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3960188_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_4035454_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_4139780_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_4252117_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_4447087_20	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_4480695_2	tetW	3000194	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
allSample_unmapped_4538585_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_4639564_1	ANT(3'')-IIb	3004090	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
allSample_unmapped_4678873_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_4701619_6	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_4823075_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_4825002_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_4865582_1	dfrB5	3004549	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
allSample_unmapped_4917741_24	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_4931197_2	ErmG	3000522	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
allSample_unmapped_5066453_7	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_5087055_7	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_5164545_1	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_5184532_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_5373461_17	fusD	3003731	protein homolog model	fusidic acid	antibiotic inactivation	fusidic acid inactivation enzyme
allSample_unmapped_5440168_2	vanWB	3002964	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
allSample_unmapped_5642147_1	OXA-58	3001611	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
allSample_unmapped_5646770_4	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
allSample_unmapped_5647261_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_5713849_2	FosA6	3004111	protein homolog model	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase
allSample_unmapped_5847240_2	Klebsiella pneumoniae KpnF	3004583	protein homolog model	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_5862694_5	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_5923807_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_5923990_5	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_5933549_1	OXA-11	3001406	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
allSample_unmapped_5985645_29	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6009896_2	OXA-361	3001548	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
allSample_unmapped_6019800_5	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6083157_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_6162365_2	QnrVC6	3002803	protein homolog model	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)
allSample_unmapped_6236476_3	Clostridium perfringens mprF	3003773	protein homolog model	peptide antibiotic	antibiotic target alteration	defensin resistant mprF
allSample_unmapped_6252764_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6358715_30	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6375408_1	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6376044_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_6390826_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_6416280_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_6490873_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6561980_1	vanHB	3002943	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster
allSample_unmapped_6561980_2	vanB	3000013	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6561980_3	vanXB	3002950	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanX; glycopeptide resistance gene cluster
allSample_unmapped_6595419_1	mphG	3003742	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
allSample_unmapped_6595419_2	mefC	3003745	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F4592_162273_1	evgS	3000833	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_6871320_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_7793332_5	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_6953828_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_7004965_2	ErmY	3002825	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
allSample_unmapped_7110338_7	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_7163395_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_7310879_4	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_7338680_1	catIII	3002685	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
allSample_unmapped_7345646_1	patB	3000025	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
allSample_unmapped_7560832_2	OXA-2	3001397	protein homolog model	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
allSample_unmapped_7888168_2	mecI	3000124	protein homolog model	penam	antibiotic target replacement	methicillin resistant PBP2
allSample_unmapped_7888168_3	mecR1	3000215	protein homolog model	penam	antibiotic target replacement	methicillin resistant PBP2
allSample_unmapped_7888168_4	mecA	3000617	protein homolog model	penam	antibiotic target replacement	methicillin resistant PBP2
allSample_unmapped_7995956_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_8043638_11	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_8345664_3	Acinetobacter baumannii AbaQ	3004574	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_8357880_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_8440242_1	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_8475324_1	vgaA	3002829	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_8702617_5	rmtG	3002668	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (G1405)
allSample_unmapped_8981829_1	catQ	3002687	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
allSample_unmapped_9003070_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_9023110_6	APH(2'')-If	3004191	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
allSample_unmapped_9142587_1	linG	3002879	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
allSample_unmapped_9505035_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_9578767_2	adeG	3000778	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_9684893_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_10772938_3	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_9942281_11	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_10044814_2	AAC(3)-IIc	3002535	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)
allSample_unmapped_10051964_1	vanUG	3004253	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanU
allSample_unmapped_10051964_2	vanRG	3002926	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
allSample_unmapped_10051964_3	vanSG	3002937	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster
allSample_unmapped_10051964_4	vanYG1	3002959	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
allSample_unmapped_10293718_3	lnuD	3002838	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
allSample_unmapped_10324717_1	AAC(6')-Il	3004635	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
allSample_unmapped_10420331_2	LAP-2	3004826	protein homolog model	fluoroquinolone antibiotic; aminoglycoside antibiotic; tetracycline antibiotic; rifamycin antibiotic	antibiotic inactivation	LAP beta-lactamase
allSample_unmapped_10521970_1	AAC(6')-IIc	3002596	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
S113504B_45779_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
S113504B_79401_1	ErmT	3000595	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
S113504B_134629_1	dfrA15	3003013	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
S114106B_168805_1	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S118306B_211211_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
S120704B_211953_1	vanRB	3002921	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
S127906A_210818_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S127906A_214509_1	OXA-32	3001426	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
S127906A_323373_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S127906A_478001_2	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
S127906B_333114_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
S127912A_4650_9	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S127912A_62704_9	aadA2	3002602	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
S127912A_117107_1	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
S127912A_311460_3	CcrA	3000578	protein homolog model	carbapenem	antibiotic inactivation	CcrA beta-lactamase
S129704B_85002_1	mdtM	3001214	protein homolog model	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F4595_450334_33	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S133506B_334172_1	AAC(6')-Iih	3002590	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
S136810A_341137_3	OXA-1	3001396	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
S136810A_367881_2	APH(2'')-IIa	3002635	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
S136810A_405076_2	APH(3')-Ia	3002641	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
S142704A_474891_1	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
S191108A_30648_4	AAC(6')-Im	3004629	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
S21104B_381978_1	sul1	3000410	protein homolog model	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul
S21310A_20977_1	tetB(P)	3000195	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
S31914B_369532_2	mdtM	3001214	protein homolog model	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
S29410A_146096_2	vanSB	3002932	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster
S29410A_146096_3	vanYB	3002956	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
S31914B_180405_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S41004A_58886_5	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S38404A_256791_2	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
S38404A_535648_2	evgS	3000833	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
S46608A_1390_1	tet32	3000196	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
S46608A_17196_8	mdtP	3003550	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
S41004B_11989_11	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
S41004B_56647_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
S41004B_68198_2	acrB	3000216	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S46608B_389530_1	lnuC	3002837	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
F4650_268212_2	tet32	3000196	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
S53008A_260246_2	OXA-85	3001780	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
S57008B_58571_3	AcrF	3000502	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S60108A_25711_3	mdtO	3003549	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
S60108B_216626_1	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
S60108B_390497_2	mdtC	3000794	protein homolog model	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S64110B_94844_1	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
S63506A_39374_2	kdpE	3003841	protein homolog model	aminoglycoside antibiotic	antibiotic efflux	kdpDE
S63506A_48094_62	cmeA	3000783	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidic acid	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S63506B_28828_1	cmlA1	3002693	protein homolog model	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
S63506B_124705_1	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
S75706B_148913_3	Escherichia coli ampC1 beta-lactamase	3004611	protein homolog model	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase
S77806A_7507_1	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
S93310B_268741_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4656_384056_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4657_59958_2	ErmQ	3000593	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
S95008B_236769_2	tetM	3000186	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
S95012B_18552_4	mdtH	3001216	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BL_allSample_unmapped_152042_9	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
S95012B_279333_9	eptA	3003576	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
BL_allSample_unmapped_612459_4	gadX	3000508	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BL_allSample_unmapped_745770_29	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BL_allSample_unmapped_973814_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BL_allSample_unmapped_1009220_2	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
